% Model,sagittal.mph
% Version,COMSOL 4.4.0.248
% Date,"Nov 28 2014, 10:52"
% Table,Probe Table 1 - 
% Time (s),"Concentration (mol/m^3), Point: (6.7, 3.9)","Concentration (mol/m^3), Point: (6.1, 3.9)","Concentration (mol/m^3), Point: (6.4, 3.9)"
0,-1.4998104712723118E-42,0.15468697858789465,2.233999426619992E-8
0.06412041117519189,-2.520385169046407E-42,0.15792698080533205,6.68874120032273E-9
0.12824082235038378,-1.2384494774394486E-44,0.16043609964193706,-3.449769550304123E-9
0.25648164470076756,1.7769995299846303E-43,0.16706760065966875,-1.3493707633399316E-8
0.5129632894015351,2.4955580369343115E-39,0.17889331225825472,-7.477424727397474E-9
0.7694449341023026,4.222611582954794E-38,0.1887041245900661,8.94562215119848E-9
1.0259265788030703,2.8002183321244393E-37,0.1971022458923621,1.7210166149628042E-8
1.5388898682046053,3.872718376901381E-32,0.21074994260765606,5.587008805311546E-9
2.0518531576061405,7.187273972237659E-31,0.2210105253203944,-1.4146284622857658E-8
3.0777797364092105,-2.4581900668577583E-27,0.23559026089278862,-1.0078260830730544E-8
4.103706315212281,-7.17082538135286E-25,0.24300655786289954,5.713662572130504E-9
5.1296328940153515,-7.172530526813701E-24,0.2485622705023812,1.5908416968376815E-9
7.1814860516214925,-1.2023709592571305E-21,0.25591992727533347,-1.3260544470592452E-10
9.233339209227633,-1.0304397215165006E-21,0.2611152229977347,4.5776504481202055E-9
13.337045524439915,5.709287732323612E-17,0.2675930037266782,6.542065203126429E-9
17.440751839652197,1.3773192704914704E-15,0.27199755831657907,1.335397169349655E-7
25.648164470076757,1.5899976356588215E-11,0.277304673848036,1.1069262927597231E-5
33.85557710050132,1.741323798797894E-10,0.28083601605287445,5.055532349190893E-5
50.27040236135045,2.7516192540364452E-8,0.2850345335518305,3.6015862073353306E-4
66.68522762219958,1.8149938222751383E-7,0.28781963467109806,9.444158460285207E-4
83.1000528830487,6.938188395073613E-7,0.28983076684510056,0.001790855435578126
115.92970340474696,4.046046874967354E-6,0.2928485045795748,0.003966022602782486
148.75935392644521,1.414768091571635E-5,0.034931787543596014,0.006611519314952884
157.01982223984504,1.8384795484625835E-5,0.020393072973080448,0.007326545674105151
164.35947197292282,2.2927384419886358E-5,0.015911963186773872,0.00794452311013543
171.6991217060006,2.834236871517555E-5,0.01316394232752596,0.008533212367886024
186.37842117215618,4.34280478175471E-5,0.010124757175036733,0.00953029953898289
215.73702010446735,9.460838611845886E-5,0.007136839445425552,0.010758428458174714
245.09561903677852,1.67867767196418E-4,0.005426031458864083,0.011373428948151668
274.45421796908965,2.6142475170060596E-4,0.0043299857548973674,0.011564360358483593
303.8128169014008,3.7150947920135585E-4,0.0035745381070495514,0.011486449006997631
362.53001476602316,6.157591281987444E-4,0.0025041350851270623,0.011001644968589264
421.2472126306455,8.792446378344755E-4,0.0018951489167765608,0.010231627533441132
479.9644104952678,0.0011360683159801585,0.0015288459727587878,0.009405808241709812
538.6816083598901,0.0013659597382683845,0.0012863056171392023,0.008635874825676619
597.3988062245124,0.00155815242978584,0.0011120834976325322,0.007953363324462403
656.1160040891348,0.0017102178506746355,9.797529049081696E-4,0.007355677525654468
773.5503998183794,0.0019144332504413618,7.826777436016379E-4,0.00635521643024026
890.9847955476241,0.002013941207049191,6.51110863232471E-4,0.005563780239618613
1008.4191912768688,0.0020431049905685096,5.583243417544038E-4,0.004926385698938821
1125.8535870061135,0.002028488029637546,4.888722361008346E-4,0.004403622497020581
1243.2879827353581,0.001988128308328621,4.3437017085294405E-4,0.003967988348367812
1435.2879827353581,0.0018980130900239527,3.64664642623533E-4,0.0033876593086041617
1627.2879827353581,0.0017929302202840955,3.12896984129513E-4,0.0029362206262608277
1819.2879827353581,0.0016855551279832254,2.7320204980515447E-4,0.00257859201428608
1920,0.0016308868110141714,2.557112015834981E-4,0.002418596898368681
